frame_number,arinc_transmission_received,time,is_attack,timing_interval_us
0,10000001110101001100000011000001,00:00:000,False,5.0596
1,00000001110101001100010011000001,00:00:020,False,4.9834
2,00000001110101001011110011000001,00:00:040,False,5.0777
3,00000001110101001100010011000001,00:00:060,False,5.1828
4,10000001110101001100110011000001,00:00:080,False,4.9719
5,10000001110101001100110011000001,00:00:100,False,4.9719
6,10000001110101001100110011000001,00:00:120,False,5.1895
7,00000001110101001100010011000001,00:00:140,False,5.0921
8,00000001110101001100100011000001,00:00:160,False,4.9437
9,10000001110101001100110011000001,00:00:180,False,5.0651
10,10000001110101001101010011000001,00:00:200,False,4.9444
11,00000001110101001101000011000001,00:00:220,False,4.9441
12,10000001110101001101100011000001,00:00:240,False,5.029
13,10000001110101001101010011000001,00:00:260,False,4.7704
14,10000001110101001100110011000001,00:00:280,False,4.793
15,10000001110101001100110011000001,00:00:300,False,4.9325
16,00000001110101001101000011000001,00:00:320,False,4.8785
17,10000001110101001100110011000001,00:00:340,False,5.0377
18,00000001110101001101000011000001,00:00:360,False,4.891
19,00000001110101001101000011000001,00:00:380,False,4.8305
20,00000001110101001101000011000001,00:00:400,False,5.1759
21,10000001110101001100110011000001,00:00:420,False,4.9729
22,00000001110101001100010011000001,00:00:440,False,5.0081
23,00000001110101001100100011000001,00:00:460,False,4.829
24,00000001110101001101000011000001,00:00:480,False,4.9347
25,10000001110101001101010011000001,00:00:500,False,5.0133
26,00000001110101001101110011000001,00:00:520,False,4.8619
27,10000001110101001101010011000001,00:00:540,False,5.0451
28,10000001110101001101010011000001,00:00:560,False,4.9279
29,10000001110101001101100011000001,00:00:580,False,4.965
30,10000001110101001101010011000001,00:00:600,False,4.9278
31,10000001110101001101010011000001,00:00:620,False,5.2223
32,10000001110101001101100011000001,00:00:640,False,4.9984
33,00000001110101001110000011000001,00:00:660,False,4.8731
34,00000001110101001110000011000001,00:00:680,False,5.0987
35,00000001110101001110000011000001,00:00:700,False,4.8535
36,10000001110101001110100011000001,00:00:720,False,5.0251
37,10000001110101001110100011000001,00:00:740,False,4.7648
38,10000001110101001111000011000001,00:00:760,False,4.8406
39,10000001110101001111000011000001,00:00:780,False,5.0236
40,10000001110101001111000011000001,00:00:800,False,5.0886
41,10000001110101001111000011000001,00:00:820,False,5.0206
42,00000001110101001111010011000001,00:00:840,False,4.9861
43,10000001110101001111110011000001,00:00:860,False,4.9639
44,10000001110101010000010011000001,00:00:880,False,4.8226
45,10000001110101010000010011000001,00:00:900,False,4.9136
46,00000001110101010000000011000001,00:00:920,False,4.9447
47,00000001110101010000000011000001,00:00:940,False,5.1269
48,00000001110101010000000011000001,00:00:960,False,5.0412
49,10000001110101001111110011000001,00:00:980,False,4.7884
50,00000001110101001111100011000001,00:01:000,False,5.0389
51,10000001110101001111110011000001,00:01:020,False,4.9538
52,10000001110101001111110011000001,00:01:040,False,4.9188
53,10000001110101001111110011000001,00:01:060,False,5.0734
54,00000001110101010000000011000001,00:01:080,False,5.1237
55,10000001110101010000100011000001,00:01:100,False,5.1118
56,10000001110101010000100011000001,00:01:120,False,4.8993
57,10000001110101010000010011000001,00:01:140,False,4.9629
58,10000001110101010000100011000001,00:01:160,False,5.0398
59,00000001110101010000000011000001,00:01:180,False,5.1171
60,10000001110101001111110011000001,00:01:200,False,4.9425
61,10000001110101010000010011000001,00:01:220,False,4.9777
62,10000001110101010000100011000001,00:01:240,False,4.8672
63,10000001110101010000010011000001,00:01:260,False,4.8565
64,10000001110101010000010011000001,00:01:280,False,5.0975
65,00000001110101010000100011000001,00:01:300,True,5.1627
66,10000001110101010000100011000001,00:01:320,False,4.9914
67,00000001110101010000110011000001,00:01:340,False,5.1204
68,10000001110101010001000011000001,00:01:360,False,5.0434
69,00000001110101010000110011000001,00:01:380,False,4.9226
70,10000001110101010000010011000001,00:01:400,False,5.0434
71,10000001110101010000100011000001,00:01:420,False,5.1846
72,10000001110101010000100011000001,00:01:440,False,4.9957
73,00000001110101010000110011000001,00:01:460,False,5.1878
74,00000001110101010001010011000001,00:01:480,False,4.75
75,00000001110101010001010011000001,00:01:500,False,5.0986
76,00000001110101010001010011000001,00:01:520,False,5.0104
77,10000001110101010001000011000001,00:01:540,False,4.9641
78,00000001110101010001100011000001,00:01:560,False,5.011
79,10000001110101010001000011000001,00:01:580,False,4.7615
80,10000001110101010001000011000001,00:01:600,False,4.9736
81,10000001110101010001000011000001,00:01:620,False,5.0429
82,00000001110101010001010011000001,00:01:640,False,5.1773
83,10000001110101010001110011000001,00:01:660,False,4.9378
84,00000001110101010001100011000001,00:01:680,False,4.903
85,10000001110101010001110011000001,00:01:700,False,4.9398
86,10000001110101010001110011000001,00:01:720,False,5.1098
87,10000001110101010001110011000001,00:01:740,False,5.0395
88,10000001110101010010000011000001,00:01:760,False,4.9364
89,00000001110101010001100011000001,00:01:780,False,5.0616
90,00000001110101010001010011000001,00:01:800,False,5.0116
91,00000001110101010001010011000001,00:01:820,False,5.1162
92,10000001110101010001000011000001,00:01:840,False,4.9158
93,10000001110101010001000011000001,00:01:860,False,4.9607
94,00000001110101010001010011000001,00:01:880,False,4.9529
95,00000001110101010001010011000001,00:01:900,False,4.8244
96,10000001110101010001110011000001,00:01:920,False,5.0355
97,00000001110101010001100011000001,00:01:940,False,5.0313
98,00000001110101010001100011000001,00:01:960,False,5.0006
99,10000001110101010001110011000001,00:01:980,False,4.9718
