frame_number,arinc_transmission_received,time,is_attack,timing_interval_us
0,10000001110101001101100011000001,00:00:000,False,4.8445
1,10000001110101001111000011000001,00:00:020,False,4.91
2,00000001110101010000000011000001,00:00:040,False,4.8558
3,10000001110101010001000011000001,00:00:060,False,5.0707
4,00000001110101010010100011000001,00:00:080,False,4.8348
5,00000001110101010011110011000001,00:00:100,False,4.8127
6,10000001110101010100110011000001,00:00:120,False,4.8875
7,10000001110101010110010011000001,00:00:140,False,5.0408
8,10000001110101010111110011000001,00:00:160,False,4.8795
9,10000001110101011001010011000001,00:00:180,False,5.0805
10,10000001110101011010100011000001,00:00:200,False,4.8882
11,00000001110101011100000011000001,00:00:220,False,4.9113
12,10000001110101011101000011000001,00:00:240,False,5.1035
13,10000001110101011110000011000001,00:00:260,False,5.0793
14,10000001110101011111010011000001,00:00:280,False,4.9111
15,10000001110101100000010011000001,00:00:300,False,5.1829
16,00000001110101100001100011000001,00:00:320,False,4.8409
17,10000001110101100010110011000001,00:00:340,False,4.8387
18,10000001110101100100000011000001,00:00:360,False,5.0415
19,00000001110101100101000011000001,00:00:380,False,5.0919
20,10000001110101100110100011000001,00:00:400,False,4.8499
21,10000001110101100111110011000001,00:00:420,False,4.8315
22,00000001110101101001000011000001,00:00:440,False,5.1318
23,10000001110101101010100011000001,00:00:460,False,5.1542
24,10000001110101101011110011000001,00:00:480,False,5.0309
25,00000001110101101101010011000001,00:00:500,False,4.8278
26,10000001110101101110110011000001,00:00:520,False,4.8912
27,10000001110101110000000011000001,00:00:540,False,5.1941
28,00000001110101110001000011000001,00:00:560,False,5.1466
29,10000001110101110010010011000001,00:00:580,False,4.9112
30,10000001110101110011110011000001,00:00:600,False,5.1336
31,00000001110101110100110011000001,00:00:620,False,4.9481
32,10000001110101110101110011000001,00:00:640,False,5.0681
33,10000001110101110111010011000001,00:00:660,False,5.1747
34,00000001110101111000110011000001,00:00:680,False,4.8286
35,00000001110101111010010011000001,00:00:700,False,4.8685
36,00000001110101111011110011000001,00:00:720,False,4.8979
37,00000001110101111101000011000001,00:00:740,False,4.9518
38,10000001110101111110100011000001,00:00:760,False,5.0753
39,00000001110101111111100011000001,00:00:780,False,5.0738
40,00000001110110000000100011000001,00:00:800,False,4.8916
41,10000001110110000001100011000001,00:00:820,False,5.122
42,00000001110110000010110011000001,00:00:840,False,4.9071
43,10000001110110000011110011000001,00:00:860,False,5.1653
44,00000001110110000101010011000001,00:00:880,False,5.1505
45,00000001110110000110100011000001,00:00:900,False,4.8851
46,00000001110110000111110011000001,00:00:920,False,4.9583
47,00000001110110001001010011000001,00:00:940,False,4.9835
48,00000001110110001010100011000001,00:00:960,False,4.8559
49,10000001110110001100000011000001,00:00:980,False,5.0245
50,10000001110110001101010011000001,00:01:000,False,5.0988
51,10000001110110001110100011000001,00:01:020,False,5.1591
52,10000001110110001111110011000001,00:01:040,False,4.9448
53,00000001110110010000110011000001,00:01:060,False,5.0038
54,10000001110110010001110011000001,00:01:080,False,5.1023
55,10000001110110010010110011000001,00:01:100,False,4.8611
56,00000001110110010011110011000001,00:01:120,False,5.1168
57,00000001110110010101000011000001,00:01:140,False,5.0386
58,10000001110110010110010011000001,00:01:160,False,4.9526
59,00000001110110010111100011000001,00:01:180,False,5.0116
60,00000001110110010111100011000001,00:01:200,True,4.5537
61,00000001110110010111100011000001,00:01:220,True,6.7912
62,00000001110110010111100011000001,00:01:240,True,3.0184
63,00000001110110010111100011000001,00:01:260,True,6.5811
64,00000001110110010111100011000001,00:01:280,True,4.0907
65,00000001110110010111100011000001,00:01:300,True,6.3055
66,00000001110110010111100011000001,00:01:320,True,3.4269
67,00000001110110010111100011000001,00:01:340,True,6.4614
68,00000001110110010111100011000001,00:01:360,True,3.1785
69,00000001110110010111100011000001,00:01:380,True,6.1521
70,00000001110110010111100011000001,00:01:400,True,3.726
71,00000001110110010111100011000001,00:01:420,True,6.9307
72,00000001110110010111100011000001,00:01:440,True,4.4014
73,00000001110110010111100011000001,00:01:460,True,5.8951
74,00000001110110010111100011000001,00:01:480,True,3.8009
75,00000001110110010111100011000001,00:01:500,True,5.768
76,00000001110110010111100011000001,00:01:520,True,4.4602
77,00000001110110010111100011000001,00:01:540,True,6.8058
78,00000001110110010111100011000001,00:01:560,True,3.4775
79,00000001110110010111100011000001,00:01:580,True,6.4584
80,00000001110110011001000011000001,00:01:600,False,4.8796
81,10000001110110011010010011000001,00:01:620,False,5.105
82,10000001110110011011110011000001,00:01:640,False,5.1814
83,00000001110110011101010011000001,00:01:660,False,5.1674
84,10000001110110011110110011000001,00:01:680,False,4.9297
85,00000001110110011111110011000001,00:01:700,False,4.8447
86,10000001110110100001000011000001,00:01:720,False,5.1515
87,00000001110110100010010011000001,00:01:740,False,4.8958
88,10000001110110100011010011000001,00:01:760,False,5.1512
89,00000001110110100100010011000001,00:01:780,False,4.8343
90,10000001110110100101100011000001,00:01:800,False,5.1264
91,10000001110110100111000011000001,00:01:820,False,5.1063
92,10000001110110101000000011000001,00:01:840,False,5.0639
93,10000001110110101001100011000001,00:01:860,False,4.8661
94,10000001110110101011000011000001,00:01:880,False,5.149
95,10000001110110101100010011000001,00:01:900,False,5.1857
96,10000001110110101101110011000001,00:01:920,False,5.1021
97,10000001110110101111010011000001,00:01:940,False,4.8805
98,00000001110110110000100011000001,00:01:960,False,4.9596
99,00000001110110110010000011000001,00:01:980,False,5.06
