frame_number,arinc_transmission_received,time,is_attack,timing_interval_us
0,00000001110101001100010011000001,00:00:000,False,4.8302
1,00000001110101001011110011000001,00:00:020,False,4.9495
2,10000001110101001100000011000001,00:00:040,False,4.9589
3,00000001110101001100010011000001,00:00:060,False,4.9037
4,10000001110101001100000011000001,00:00:080,False,4.9806
5,00000001110101001100100011000001,00:00:100,False,5.0485
6,00000001110101001100100011000001,00:00:120,False,5.2263
7,00000001110101001100010011000001,00:00:140,False,5.0209
8,00000001110101001100100011000001,00:00:160,False,5.0309
9,00000001110101001100010011000001,00:00:180,False,4.9911
10,00000001110101001011110011000001,00:00:200,False,4.7697
11,10000001110101001011100011000001,00:00:220,False,4.9968
12,00000001110101001011110011000001,00:00:240,False,5.0072
13,10000001110101001011010011000001,00:00:260,False,5.25
14,00000001110101001011000011000001,00:00:280,False,4.9769
15,00000001110101001010100011000001,00:00:300,False,5.0362
16,00000001110101001010010011000001,00:00:320,False,4.9958
17,10000001110101001010110011000001,00:00:340,False,4.8598
18,00000001110101001011000011000001,00:00:360,False,5.1371
19,10000001110101001010110011000001,00:00:380,False,5.0902
20,10000001110101001011010011000001,00:00:400,False,5.0949
21,10000001110101001010110011000001,00:00:420,False,4.8909
22,00000001110101001010100011000001,00:00:440,False,5.1683
23,00000001110101001010100011000001,00:00:460,False,4.8318
24,10000001110101001010110011000001,00:00:480,False,5.0704
25,00000001110101001011000011000001,00:00:500,False,5.25
26,10000001110101001011010011000001,00:00:520,False,4.8811
27,10000001110101001011010011000001,00:00:540,False,4.932
28,10000001110101001010110011000001,00:00:560,False,5.012
29,00000001110101001010100011000001,00:00:580,False,4.9396
30,10000001110101001010000011000001,00:00:600,False,4.8139
31,10000001110101001001110011000001,00:00:620,False,5.0082
32,10000001110101001001110011000001,00:00:640,False,4.8725
33,00000001110101001010010011000001,00:00:660,False,5.0568
34,10000001110101001010000011000001,00:00:680,False,4.8897
35,00000001110101001010100011000001,00:00:700,False,5.186
36,10000001110101001010000011000001,00:00:720,False,4.906
37,00000001110101001010010011000001,00:00:740,False,4.9614
38,00000001110101001010010011000001,00:00:760,False,5.0976
39,00000001110101001010100011000001,00:00:780,False,4.8523
40,00000001110101001010100011000001,00:00:800,False,5.0273
41,00000001110101001010100011000001,00:00:820,False,5.1569
42,10000001110101001010110011000001,00:00:840,False,4.8071
43,00000001110101001011000011000001,00:00:860,False,5.0222
44,00000001110101001011000011000001,00:00:880,False,5.0312
45,10000001110101001011100011000001,00:00:900,False,5.0938
46,00000001110101001011000011000001,00:00:920,False,4.8516
47,10000001110101001010110011000001,00:00:940,False,4.8415
48,00000001110101001011000011000001,00:00:960,False,5.0626
49,10000001110101001011010011000001,00:00:980,False,5.0356
50,10000001110101001010110011000001,00:01:000,False,5.0301
51,10000001110101001010110011000001,00:01:020,False,5.0416
52,00000001110101001011000011000001,00:01:040,False,4.9184
53,10000001110101001010110011000001,00:01:060,False,5.0279
54,10000001110101001010110011000001,00:01:080,False,5.0352
55,10000001110101001011010011000001,00:01:100,False,4.9143
56,10000001110101001011100011000001,00:01:120,False,5.2239
57,00000001110101001011110011000001,00:01:140,False,5.0569
58,00000001110101001011110011000001,00:01:160,False,4.857
59,00000001110101001100010011000001,00:01:180,False,5.0788
60,00000001110101001100100011000001,00:01:200,False,4.883
61,00000001110101001100100011000001,00:01:220,False,5.0945
62,00000001110101001100100011000001,00:01:240,False,5.139
63,10000001110101001100000011000001,00:01:260,False,4.9015
64,00000001110101001100010011000001,00:01:280,False,5.1156
65,00000001110101001100010011000001,00:01:300,False,5.0495
66,00000001110101001100100011000001,00:01:320,False,5.0986
67,00000001110101001100010011000001,00:01:340,False,5.2276
68,10000001110101001100000011000001,00:01:360,False,4.9706
69,00000001110101001011110011000001,00:01:380,False,4.9096
70,10000001110101001011010011000001,00:00:400,True,4.8933
71,10000001110101001010110011000001,00:00:420,True,4.9021
72,00000001110101001010100011000001,00:00:440,True,4.9907
73,00000001110101001010100011000001,00:00:460,True,5.0409
74,10000001110101001010110011000001,00:00:480,True,5.0332
75,00000001110101001011000011000001,00:00:500,True,5.0993
76,10000001110101001011010011000001,00:00:520,True,5.0016
77,10000001110101001011010011000001,00:00:540,True,5.1744
78,10000001110101001010110011000001,00:00:560,True,4.9682
79,00000001110101001010100011000001,00:00:580,True,5.25
80,00000001110101001101000011000001,00:01:600,False,5.0751
81,00000001110101001101000011000001,00:01:620,False,4.8971
82,10000001110101001100110011000001,00:01:640,False,4.8715
83,10000001110101001100110011000001,00:01:660,False,5.0579
84,00000001110101001100100011000001,00:01:680,False,4.9732
85,10000001110101001100110011000001,00:01:700,False,5.0857
86,00000001110101001101000011000001,00:01:720,False,5.0568
87,10000001110101001101010011000001,00:01:740,False,4.9913
88,10000001110101001101010011000001,00:01:760,False,4.8984
89,10000001110101001101100011000001,00:01:780,False,4.8182
90,00000001110101001101110011000001,00:01:800,False,4.9464
91,00000001110101001110000011000001,00:01:820,False,5.1028
92,00000001110101001101110011000001,00:01:840,False,5.0257
93,10000001110101001101100011000001,00:01:860,False,4.8505
94,00000001110101001101110011000001,00:01:880,False,5.0208
95,10000001110101001101100011000001,00:01:900,False,5.0462
96,10000001110101001101010011000001,00:01:920,False,4.8939
97,10000001110101001101100011000001,00:01:940,False,5.0184
98,10000001110101001101010011000001,00:01:960,False,5.007
99,00000001110101001101110011000001,00:01:980,False,4.8628
