frame_number,arinc_transmission_received,time,is_attack,timing_interval_us
0,10000001110101001101010011000001,00:00:000,False,4.8283
1,10000001110101001110010011000001,00:00:020,False,4.9114
2,00000001110101001111100011000001,00:00:040,False,4.8857
3,10000001110101010000100011000001,00:00:060,False,5.0893
4,10000001110101010010000011000001,00:00:080,False,5.0305
5,00000001110101010011000011000001,00:00:100,False,5.1138
6,00000001110101010100010011000001,00:00:120,False,4.8762
7,10000001110101010101010011000001,00:00:140,False,5.0636
8,10000001110101010110100011000001,00:00:160,False,4.9694
9,10000001110101010111110011000001,00:00:180,False,5.1455
10,10000001110101011000110011000001,00:00:200,False,5.0693
11,10000001110101011010010011000001,00:00:220,False,4.8394
12,00000001110101011011100011000001,00:00:240,False,5.0913
13,10000001110101011100100011000001,00:00:260,False,4.8995
14,00000001110101011101100011000001,00:00:280,False,5.0145
15,00000001110101011110100011000001,00:00:300,False,4.9688
16,00000001110101011111110011000001,00:00:320,False,4.9851
17,00000001110101100000110011000001,00:00:340,False,4.9773
18,00000001110101100010010011000001,00:00:360,False,4.8392
19,00000001110101100011110011000001,00:00:380,False,5.1997
20,10000001110101100100110011000001,00:00:400,False,5.1876
21,00000001110101100101110011000001,00:00:420,False,4.8665
22,10000001110101100111000011000001,00:00:440,False,4.9925
23,00000001110101101000010011000001,00:00:460,False,5.161
24,10000001110101101001010011000001,00:00:480,False,4.9516
25,10000001110101101010100011000001,00:00:500,False,4.9061
26,10000001110101101011110011000001,00:00:520,False,4.9141
27,00000001110101101101010011000001,00:00:540,False,5.1829
28,10000001110101101110110011000001,00:00:560,False,5.0647
29,10000001110101110000000011000001,00:00:580,False,4.8619
30,10000001110101110001010011000001,00:00:600,False,4.8871
31,10000001110101110010010011000001,00:00:620,False,5.0317
32,10000001110101110011110011000001,00:00:640,False,4.8244
33,10000001110101110101000011000001,00:00:660,False,4.8229
34,00000001110101110110100011000001,00:00:680,False,4.9907
35,00000001110101111000000011000001,00:00:700,False,4.863
36,00000001110101111001100011000001,00:00:720,False,4.832
37,00000001110101111010100011000001,00:00:740,False,4.8274
38,10000001110101111011100011000001,00:00:760,False,5.0701
39,00000001110101111100100011000001,00:00:780,False,4.9615
40,00000001110101111110000011000001,00:00:800,False,4.8985
41,00000001110101111110000011000001,00:00:800,True,5.0378
42,00000001110101111111100011000001,00:00:820,False,4.8328
43,00000001110110000001000011000001,00:00:840,False,5.0335
44,10000001110110000010100011000001,00:00:860,False,4.9265
45,10000001110110000011110011000001,00:00:880,False,4.8817
46,10000001110110000011110011000001,00:00:880,True,5.0865
47,00000001110110000100110011000001,00:00:900,False,4.9062
48,10000001110110000101110011000001,00:00:920,False,5.0687
49,00000001110110000111000011000001,00:00:940,False,4.9829
50,00000001110110001000000011000001,00:00:960,False,4.8037
51,00000001110110001000000011000001,00:00:960,True,5.0485
52,00000001110110001001100011000001,00:00:980,False,5.1984
53,00000001110110001010100011000001,00:01:000,False,5.0151
54,10000001110110001100000011000001,00:01:020,False,4.9061
55,10000001110110001101010011000001,00:01:040,False,5.1523
56,10000001110110001101010011000001,00:01:040,True,5.1517
57,10000001110110001110100011000001,00:01:060,False,4.914
58,10000001110110001111110011000001,00:01:080,False,5.1335
59,00000001110110010001010011000001,00:01:100,False,4.921
60,10000001110110010010110011000001,00:01:120,False,5.0116
61,10000001110110010010110011000001,00:01:120,True,5.0671
62,00000001110110010100010011000001,00:01:140,False,4.9198
63,00000001110110010101110011000001,00:01:160,False,4.8414
64,00000001110110010110110011000001,00:01:180,False,4.9058
65,10000001110110010111110011000001,00:01:200,False,5.097
66,10000001110110010111110011000001,00:01:200,True,4.8622
67,00000001110110011001000011000001,00:01:220,False,5.0419
68,10000001110110011010100011000001,00:01:240,False,4.9372
69,00000001110110011100000011000001,00:01:260,False,5.0537
70,00000001110110011101010011000001,00:01:280,False,5.0022
71,00000001110110011101010011000001,00:01:280,True,4.9004
72,00000001110110011110010011000001,00:01:300,False,4.8369
73,10000001110110011111100011000001,00:01:320,False,5.1317
74,10000001110110100000100011000001,00:01:340,False,4.8014
75,00000001110110100001100011000001,00:01:360,False,5.0548
76,00000001110110100001100011000001,00:01:360,True,4.9048
77,00000001110110100011000011000001,00:01:380,False,4.9767
78,00000001110110100100100011000001,00:01:400,False,4.9711
79,10000001110110100101100011000001,00:01:420,False,4.8447
80,10000001110110100111000011000001,00:01:440,False,5.1616
81,10000001110110100111000011000001,00:01:440,True,5.0182
82,00000001110110101000010011000001,00:01:460,False,5.033
83,10000001110110101001010011000001,00:01:480,False,4.9719
84,10000001110110101010010011000001,00:01:500,False,4.9233
85,00000001110110101011010011000001,00:01:520,False,5.1596
86,00000001110110101011010011000001,00:01:520,True,4.884
87,10000001110110101100010011000001,00:01:540,False,5.0668
88,00000001110110101101100011000001,00:01:560,False,5.112
89,10000001110110101110110011000001,00:01:580,False,5.1895
90,00000001110110110000010011000001,00:01:600,False,4.8618
91,10000001110110110001010011000001,00:01:620,False,5.1458
92,10000001110110110010010011000001,00:01:640,False,5.1526
93,00000001110110110011010011000001,00:01:660,False,4.8717
94,10000001110110110100100011000001,00:01:680,False,5.113
95,10000001110110110101110011000001,00:01:700,False,5.1209
96,10000001110110110111010011000001,00:01:720,False,5.1243
97,10000001110110111000100011000001,00:01:740,False,4.8637
98,10000001110110111010000011000001,00:01:760,False,4.8432
99,00000001110110111011000011000001,00:01:780,False,5.1434
