frame_number,arinc_transmission_received,time (MM:SS:mmm),is_attack,timing_interval_us
0,00000001110101001100010011000001,00:00:000,False,5.0429
1,00000001110101001100010011000001,00:00:020,False,5.0673
2,00000001110101001100100011000001,00:00:040,False,5.13
3,10000001110101001100110011000001,00:00:060,False,5.1265
4,10000001110101001100110011000001,00:00:080,False,4.8347
5,00000001110101001100100011000001,00:00:100,False,4.8875
6,00000001110101001100010011000001,00:00:120,False,5.0618
7,10000001110101001100000011000001,00:00:140,False,5.0617
8,00000001110101001100010011000001,00:00:160,False,5.0618
9,00000001110101001100010011000001,00:00:180,False,5.25
10,00000001110101001011110011000001,00:00:200,False,5.0685
11,10000001110101001100000011000001,00:00:220,False,5.1363
12,00000001110101001100100011000001,00:00:240,False,5.1145
13,10000001110101001100000011000001,00:00:260,False,5.0782
14,00000001110101001100010011000001,00:00:280,False,4.9622
15,00000001110101001011110011000001,00:00:300,False,5.0911
16,10000000010011100010000011000001,00:00:320,True,4.9073
17,10000000010011100001110011000001,00:00:340,False,4.9716
18,10000000010011100010000011000001,00:00:360,False,4.9418
19,10000000010011100001110011000001,00:00:380,False,5.0098
20,10000000010011100001110011000001,00:00:400,False,5.25
21,10000000010011100001110011000001,00:00:420,False,4.7759
22,10000000010011100010000011000001,00:00:440,False,5.0824
23,10000000010011100010000011000001,00:00:460,False,4.8065
24,10000000010011100010000011000001,00:00:480,False,4.9434
25,10000000010011100001110011000001,00:00:500,False,5.1307
26,10000000010011100010000011000001,00:00:520,False,5.0077
27,10000000010011100001110011000001,00:00:540,False,4.8707
28,10000000010011100001110011000001,00:00:560,False,4.9142
29,10000000010011100010000011000001,00:00:580,False,5.0816
30,10000000010011100010000011000001,00:00:600,False,4.9124
31,10000000010011100010000011000001,00:00:620,False,5.026
32,10000000010011100001110011000001,00:00:640,False,5.0055
33,10000000010011100010000011000001,00:00:660,False,4.9218
34,10000000010011100001110011000001,00:00:680,False,5.25
35,10000000010011100010000011000001,00:00:700,False,5.0761
36,10000000010011100001110011000001,00:00:720,False,4.757
37,10000000010011100010000011000001,00:00:740,False,5.0224
38,10000000010011100010000011000001,00:00:760,False,4.9206
39,10000000010011100001110011000001,00:00:780,False,5.1023
40,10000000010011100010000011000001,00:00:800,False,4.9049
41,10000000010011100010000011000001,00:00:820,False,4.9862
42,10000000010011100001110011000001,00:00:840,False,5.0606
43,10000000010011100001110011000001,00:00:860,False,5.1039
44,10000000010011100001110011000001,00:00:880,False,4.856
45,10000000010011100010000011000001,00:00:900,False,4.9599
46,10000000010011100010000011000001,00:00:920,False,4.943
47,10000000010011100010000011000001,00:00:940,False,4.9216
48,10000000010011100001110011000001,00:00:960,False,5.2119
49,10000000010011100001110011000001,00:00:980,False,5.0486
50,10000000010011100001110011000001,00:01:000,False,4.8487
51,10000000010011100001110011000001,00:01:020,False,5.1101
52,10000000010011100001110011000001,00:01:040,False,5.25
53,10000000010011100010000011000001,00:01:060,False,5.1239
54,10000000010011100010000011000001,00:01:080,False,4.8177
55,10000000010011100010000011000001,00:01:100,False,4.9419
56,10000000010011100001110011000001,00:01:120,False,5.152
57,10000000010011100001110011000001,00:01:140,False,4.9151
58,10000000010011100010000011000001,00:01:160,False,5.0533
59,10000000010011100010000011000001,00:01:180,False,5.093
60,10000000010011100001110011000001,00:01:200,False,4.8888
61,10000000010011100010000011000001,00:01:220,False,4.9929
62,10000000010011100001110011000001,00:01:240,False,4.75
63,10000000010011100001110011000001,00:01:260,False,4.8771
64,10000000010011100010000011000001,00:01:280,False,4.9697
65,10000000010011100001110011000001,00:01:300,False,4.8503
66,10000000010011100010000011000001,00:01:320,False,5.1959
67,10000000010011100001110011000001,00:01:340,False,4.8284
68,10000000010011100001110011000001,00:01:360,False,4.9472
69,10000000010011100001110011000001,00:01:380,False,5.0157
70,10000000010011100010000011000001,00:01:400,False,5.173
71,10000000010011100010000011000001,00:01:420,False,4.8277
72,10000000010011100010000011000001,00:01:440,False,5.1396
73,10000000010011100001110011000001,00:01:460,False,5.0012
74,10000000010011100010000011000001,00:01:480,False,4.8822
75,10000000010011100010000011000001,00:01:500,False,5.0555
76,10000000010011100010000011000001,00:01:520,False,5.0239
77,10000000010011100001110011000001,00:01:540,False,4.928
78,10000000010011100001110011000001,00:01:560,False,5.0084
79,10000000010011100010000011000001,00:01:580,False,4.9538
80,10000000010011100010000011000001,00:01:600,False,5.0136
81,10000000010011100010000011000001,00:01:620,False,5.0795
82,10000000010011100010000011000001,00:01:640,False,5.1903
83,10000000010011100001110011000001,00:01:660,False,4.8515
84,10000000010011100010000011000001,00:01:680,False,5.25
85,10000000010011100010000011000001,00:01:700,False,4.7657
86,10000000010011100001110011000001,00:01:720,False,4.9818
87,10000000010011100010000011000001,00:01:740,False,5.0706
88,10000000010011100001110011000001,00:01:760,False,5.0337
89,10000000010011100010000011000001,00:01:780,False,4.9253
90,10000000010011100010000011000001,00:01:800,False,4.975
91,10000000010011100001110011000001,00:01:820,False,4.9408
92,10000000010011100010000011000001,00:01:840,False,4.9293
93,10000000010011100010000011000001,00:01:860,False,5.102
94,10000000010011100001110011000001,00:01:880,False,5.0428
95,10000000010011100010000011000001,00:01:900,False,4.9169
96,10000000010011100010000011000001,00:01:920,False,5.108
97,10000000010011100001110011000001,00:01:940,False,5.0369
98,10000000010011100010000011000001,00:01:960,False,5.0975
99,10000000010011100001110011000001,00:01:980,False,5.0756
