frame_number,arinc_transmission_received,time,is_attack,timing_interval_us
0,10000001110101001100000011000001,00:00:000,False,4.8798
1,00000001110101001101000011000001,00:00:020,False,4.9399
2,10000001110101001110010011000001,00:00:040,False,4.8892
3,00000001110101001111010011000001,00:00:060,False,4.8773
4,00000001110101010000110011000001,00:00:080,False,4.9114
5,10000001110101010010000011000001,00:00:100,False,5.1868
6,00000001110101010011000011000001,00:00:120,False,4.9405
7,00000001110101010100010011000001,00:00:140,False,4.9599
8,00000001110101010101110011000001,00:00:160,False,4.9325
9,00000001110101010111010011000001,00:00:180,False,4.8461
10,00000001110101011000010011000001,00:00:200,False,4.8714
11,10000001110101011001100011000001,00:00:220,False,4.8153
12,00000001110101011010110011000001,00:00:240,False,4.9738
13,10000001110101011100010011000001,00:00:260,False,5.1146
14,10000001110101011101110011000001,00:00:280,False,5.0425
15,00000001110101011111000011000001,00:00:300,False,4.8463
16,10000001110101100000100011000001,00:00:320,False,4.876
17,10000001110101100010000011000001,00:00:340,False,5.0835
18,00000001110101100011000011000001,00:00:360,False,5.008
19,10000001110101100100000011000001,00:00:380,False,5.0747
20,10000001110101100101100011000001,00:00:400,False,5.0948
21,10000001110101100111000011000001,00:00:420,False,4.9457
22,10000001110101101000000011000001,00:00:440,False,5.1795
23,00000001110101101001000011000001,00:00:460,False,5.0493
24,10000001110101101010010011000001,00:00:480,False,5.1392
25,10000001110101101011110011000001,00:00:500,False,5.16
26,00000001110101101101010011000001,00:00:520,False,4.9237
27,10000001110101101110110011000001,00:00:540,False,4.9305
28,10000001110101110000000011000001,00:00:560,False,4.9183
29,10000001110101110001100011000001,00:00:580,False,4.8767
30,10000001110101110010100011000001,00:00:600,False,5.1761
31,00000001110101110100000011000001,00:00:620,False,5.0993
32,00000001110101110101100011000001,00:00:640,False,5.0462
33,00000001110101110110100011000001,00:00:660,False,4.9624
34,00000001110101110111110011000001,00:00:680,False,4.9215
35,00000001110101111000110011000001,00:00:700,False,4.972
36,10000001110101111001110011000001,00:00:720,False,5.0427
37,10000001110101111011010011000001,00:00:740,False,4.986
38,00000001110101111100100011000001,00:00:760,False,5.0703
39,00000001110101111101110011000001,00:00:780,False,4.9893
40,00000001110101111111010011000001,00:00:800,False,4.8679
41,10000001110110000000110011000001,00:00:820,False,4.9135
42,00000001110110000001110011000001,00:00:840,False,5.0532
43,00000001110110000011010011000001,00:00:860,False,4.8374
44,10000001110110000100100011000001,00:00:880,False,5.0691
45,00000001110110000101100011000001,00:00:900,False,5.1226
46,00000001110110000110100011000001,00:00:920,False,4.8098
47,10000001110110000111100011000001,00:00:940,False,5.1936
48,10000001110110001000100011000001,00:00:960,False,5.1399
49,10000001110110001010000011000001,00:00:980,False,4.9822
50,00001100001101010000000011000001,00:01:000,True,5.1545
51,00001100001101010000000011000001,00:01:020,True,5.0303
52,00001100001101010000000011000001,00:01:040,True,5.0873
53,00001100001101010000000011000001,00:01:060,True,4.9536
54,00001100001101010000000011000001,00:01:080,True,4.9599
55,00001100001101010000000011000001,00:01:100,True,4.859
56,00001100001101010000000011000001,00:01:120,True,5.075
57,00001100001101010000000011000001,00:01:140,True,5.1571
58,00001100001101010000000011000001,00:01:160,True,5.1442
59,00001100001101010000000011000001,00:01:180,True,5.1542
60,00000001110110001011000011000001,00:01:200,False,4.8875
61,00000001110110001100010011000001,00:01:220,False,5.0072
62,00000001110110001101110011000001,00:01:240,False,5.023
63,00000001110110001110110011000001,00:01:260,False,4.9826
64,10000001110110001111110011000001,00:01:280,False,5.067
65,10000001110110010001000011000001,00:01:300,False,5.0382
66,00000001110110010010100011000001,00:01:320,False,5.0451
67,00000001110110010011110011000001,00:01:340,False,5.1568
68,10000001110110010101010011000001,00:01:360,False,5.1322
69,10000001110110010110100011000001,00:01:380,False,4.9784
70,10000001110110011000000011000001,00:01:400,False,5.0975
71,00000001110110011001000011000001,00:01:420,False,4.98
72,10000001110110011010010011000001,00:01:440,False,5.1359
73,00000001110110011011010011000001,00:01:460,False,5.1063
74,10000001110110011100100011000001,00:01:480,False,4.9938
75,10000001110110011110000011000001,00:01:500,False,4.9098
76,00000001110110011111000011000001,00:01:520,False,5.0854
77,00000001110110100000000011000001,00:01:540,False,4.9087
78,10000001110110100001000011000001,00:01:560,False,5.1572
79,00000001110110100010010011000001,00:01:580,False,4.8553
80,10000001110110100011010011000001,00:01:600,False,4.9532
81,00000001110110100100010011000001,00:01:620,False,5.0826
82,10000001110110100101010011000001,00:01:640,False,4.9659
83,10000001110110100110010011000001,00:01:660,False,5.017
84,00000001110110100111100011000001,00:01:680,False,4.8249
85,10000001110110101000110011000001,00:01:700,False,4.9558
86,00000001110110101010000011000001,00:01:720,False,5.1784
87,00000001110110101011100011000001,00:01:740,False,5.1427
88,10000001110110101100100011000001,00:01:760,False,4.9522
89,10000001110110101110000011000001,00:01:780,False,5.1771
90,00000001110110101111000011000001,00:01:800,False,5.1014
91,00000001110110110000010011000001,00:01:820,False,5.0153
92,10000001110110110001100011000001,00:01:840,False,5.0185
93,10000001110110110011000011000001,00:01:860,False,5.1591
94,10000001110110110100100011000001,00:01:880,False,4.8878
95,10000001110110110101110011000001,00:01:900,False,4.9943
96,00000001110110110111000011000001,00:01:920,False,4.9345
97,10000001110110111000010011000001,00:01:940,False,5.1193
98,10000001110110111001110011000001,00:01:960,False,4.866
99,10000001110110111011010011000001,00:01:980,False,5.1678
