frame_number,arinc_transmission_received,time,is_attack,timing_interval_us
0,10000001110101001101100011000001,00:00:000,False,5.0136
1,00000001110101001110110011000001,00:00:020,False,5.0368
2,10000001110101010000010011000001,00:00:040,False,4.8108
3,10000001110101010001110011000001,00:00:060,False,4.9714
4,00000001110101010011000011000001,00:00:080,False,4.8727
5,00000001110101010100010011000001,00:00:100,False,4.9516
6,10000001110101010101010011000001,00:00:120,False,4.9819
7,10000001110101010110100011000001,00:00:140,False,5.1045
8,10000001110101010111110011000001,00:00:160,False,4.9113
9,00000001110101011001000011000001,00:00:180,False,4.9009
10,00000001110101011010000011000001,00:00:200,False,4.9881
11,00000001110101011011100011000001,00:00:220,False,5.0158
12,00000001110101011100110011000001,00:00:240,False,4.8897
13,10000001110101011101110011000001,00:00:260,False,5.1125
14,10000001110101011111010011000001,00:00:280,False,4.8161
15,10000001110101100000010011000001,00:00:300,False,5.1798
16,00000001110101100001010011000001,00:00:320,False,5.1357
17,10000001110101100010110011000001,00:00:340,False,4.861
18,00000001110101100011110011000001,00:00:360,False,4.9894
19,10000001110101100100110011000001,00:00:380,False,5.0256
20,00000001110101100101110011000001,00:00:400,False,4.986
21,10000001110101100111000011000001,00:00:420,False,5.1068
22,10000001110101101000000011000001,00:00:440,False,5.0424
23,10000001110101101001100011000001,00:00:460,False,5.0873
24,10000001110101101010100011000001,00:00:480,False,5.1859
25,00000001110101101011100011000001,00:00:500,False,5.0315
26,00000001110101101100110011000001,00:00:520,False,5.0303
27,10000001110101101110000011000001,00:00:540,False,4.9587
28,10000001110101101111100011000001,00:00:560,False,4.8793
29,00000001110101110001000011000001,00:00:580,False,5.0762
30,10000001110101110010100011000001,00:00:600,False,4.8971
31,00000001110101110100000011000001,00:00:620,False,5.109
32,00000001110101110101100011000001,00:00:640,False,5.0402
33,00000001110101110110100011000001,00:00:660,False,5.1185
34,00000001110101111000000011000001,00:00:680,False,5.1131
35,00000001110101111001010011000001,00:00:700,False,5.0131
36,10000001110101111010110011000001,00:00:720,False,4.9482
37,00000001110101111100010011000001,00:00:740,False,5.059
38,10000001110101111101010011000001,00:00:760,False,5.1398
39,10000001110101111110100011000001,00:00:780,False,4.8422
40,10000001110101111111110011000001,00:00:800,False,5.0542
41,00000001110110000001000011000001,00:00:820,False,5.0829
42,10000001110110000010010011000001,00:00:840,False,4.8705
43,10000001110110000011110011000001,00:00:860,False,5.1862
44,10000001110110000101000011000001,00:00:880,False,5.0464
45,00000001110110000110100011000001,00:00:900,False,5.1099
46,00000001110110000111110011000001,00:00:920,False,4.9742
47,00000001110110001001010011000001,00:00:940,False,5.037
48,00000001110110001010100011000001,00:00:960,False,5.1407
49,10000001110110001011100011000001,00:00:980,False,4.9116
50,10000001110110001100110011000001,00:01:000,False,4.8975
51,00000001110110001110000011000001,00:01:020,False,5.0279
52,00000001110110001111100011000001,00:01:040,False,4.9516
53,10000001110110010000100011000001,00:01:060,False,4.9977
54,10000001110110010001110011000001,00:01:080,False,4.8727
55,10000001110110010010110011000001,00:01:100,False,4.9419
56,10000001110110010100000011000001,00:01:120,False,4.9361
57,10000001110110010101100011000001,00:01:140,False,5.0805
58,00000001110110010110110011000001,00:01:160,False,5.0223
59,00000001110110011000010011000001,00:01:180,False,5.1792
60,00000001110110011100000011000001,00:01:200,True,4.8342
61,10000001110110011100010011000001,00:01:220,True,5.088
62,10000001110110011100100011000001,00:01:240,True,4.9954
63,00000001110110011100110011000001,00:01:260,True,5.1033
64,10000001110110011101000011000001,00:01:280,True,5.0762
65,00000001110110011001110011000001,00:01:300,False,5.0847
66,10000001110110011011000011000001,00:01:320,False,5.1172
67,00000001110110011100000011000001,00:01:340,False,4.9177
68,00000001110110011101010011000001,00:01:360,False,5.0767
69,00000001110110011110100011000001,00:01:380,False,5.0656
70,00000001110110011111110011000001,00:01:400,False,4.9893
71,00000001110110100001010011000001,00:01:420,False,4.9375
72,10000001110110100010110011000001,00:01:440,False,5.0202
73,10000001110110100100000011000001,00:01:460,False,5.0811
74,10000001110110100101010011000001,00:01:480,False,4.9226
75,10000001110110100110010011000001,00:01:500,False,4.8483
76,00000001110110100111010011000001,00:01:520,False,4.9262
77,10000001110110101000110011000001,00:01:540,False,5.0143
78,10000001110110101010010011000001,00:01:560,False,4.8741
79,00000001110110101011010011000001,00:01:580,False,5.0954
80,10000001110110101100100011000001,00:01:600,False,5.0898
81,10000001110110101110000011000001,00:01:620,False,5.0387
82,00000001110110101111000011000001,00:01:640,False,5.1331
83,00000001110110110000010011000001,00:01:660,False,4.891
84,10000001110110110001010011000001,00:01:680,False,4.9209
85,00000001110110110010110011000001,00:01:700,False,5.0137
86,00000001110110110100000011000001,00:01:720,False,4.8182
87,10000001110110110101000011000001,00:01:740,False,5.0213
88,00000001110110110110100011000001,00:01:760,False,5.1776
89,00000001110110111000000011000001,00:01:780,False,5.1474
90,00000001110110111001010011000001,00:01:800,False,4.841
91,00000001110110111010010011000001,00:01:820,False,5.0296
92,10000001110110111011100011000001,00:01:840,False,4.9915
93,10000001110110111100110011000001,00:01:860,False,4.8737
94,00000001110110111101110011000001,00:01:880,False,4.901
95,10000001110110111111000011000001,00:01:900,False,4.8456
96,00000001110111000000000011000001,00:01:920,False,4.9603
97,10000001110111000001000011000001,00:01:940,False,5.0308
98,00000001110111000010100011000001,00:01:960,False,4.8214
99,10000001110111000011100011000001,00:01:980,False,5.1245
