frame_number,arinc_transmission_received,time,is_attack
0,00000001110101001100010011000001,00:00:000,False
1,00000001110101001011110011000001,00:00:020,False
2,10000001110101001100000011000001,00:00:040,False
3,00000001110101001100010011000001,00:00:060,False
4,10000001110101001100000011000001,00:00:080,False
5,00000001110101001100100011000001,00:00:100,False
6,00000001110101001100100011000001,00:00:120,False
7,00000001110101001100010011000001,00:00:140,False
8,00000001110101001100100011000001,00:00:160,False
9,00000001110101001100010011000001,00:00:180,False
10,00000001110101001011110011000001,00:00:200,False
11,10000001110101001011100011000001,00:00:220,False
12,00000001110101001011110011000001,00:00:240,False
13,10000001110101001011010011000001,00:00:260,False
14,00000001110101001011000011000001,00:00:280,False
15,00000001110101001010100011000001,00:00:300,False
16,00000001110101001010010011000001,00:00:320,False
17,10000001110101001010110011000001,00:00:340,False
18,00000001110101001011000011000001,00:00:360,False
19,10000001110101001010110011000001,00:00:380,False
20,10000001110101001011010011000001,00:00:400,False
21,10000001110101001010110011000001,00:00:420,False
22,00000001110101001010100011000001,00:00:440,False
23,00000001110101001010100011000001,00:00:460,False
24,10000001110101001010110011000001,00:00:480,False
25,00000001110101001011000011000001,00:00:500,False
26,10000001110101001011010011000001,00:00:520,False
27,10000001110101001011010011000001,00:00:540,False
28,10000001110101001010110011000001,00:00:560,False
29,00000001110101001010100011000001,00:00:580,False
30,10000001110101001010000011000001,00:00:600,False
31,10000001110101001001110011000001,00:00:620,False
32,10000001110101001001110011000001,00:00:640,False
33,00000001110101001010010011000001,00:00:660,False
34,10000001110101001010000011000001,00:00:680,False
35,00000001110101001010100011000001,00:00:700,False
36,10000001110101001010000011000001,00:00:720,False
37,00000001110101001010010011000001,00:00:740,False
38,00000001110101001010010011000001,00:00:760,False
39,00000001110101001010100011000001,00:00:780,False
40,00000001110101001010100011000001,00:00:800,False
41,00000001110101001010100011000001,00:00:820,False
42,10000001110101001010110011000001,00:00:840,False
43,00000001110101001011000011000001,00:00:860,False
44,00000001110101001011000011000001,00:00:880,False
45,10000001110101001011100011000001,00:00:900,False
46,00000001110101001011000011000001,00:00:920,False
47,10000001110101001010110011000001,00:00:940,False
48,00000001110101001011000011000001,00:00:960,False
49,10000001110101001011010011000001,00:00:980,False
50,10000001110101001010110011000001,00:01:000,False
51,10000001110101001010110011000001,00:01:020,False
52,00000001110101001011000011000001,00:01:040,False
53,10000001110101001010110011000001,00:01:060,False
54,10000001110101001010110011000001,00:01:080,False
55,10000001110101001011010011000001,00:01:100,False
56,10000001110101001011100011000001,00:01:120,False
57,00000001110101001011110011000001,00:01:140,False
58,00000001110101001011110011000001,00:01:160,False
59,00000001110101001100010011000001,00:01:180,False
60,00000001110101001100100011000001,00:01:200,False
61,00000001110101001100100011000001,00:01:220,False
62,00000001110101001100100011000001,00:01:240,False
63,10000001110101001100000011000001,00:01:260,False
64,00000001110101001100010011000001,00:01:280,False
65,00000001110101001100010011000001,00:01:300,False
66,00000001110101001100100011000001,00:01:320,False
67,00000001110101001100010011000001,00:01:340,False
68,10000001110101001100000011000001,00:01:360,False
69,00000001110101001011110011000001,00:01:380,False
70,10000001110101001011010011000001,00:00:400,True
71,10000001110101001010110011000001,00:00:420,True
72,00000001110101001010100011000001,00:00:440,True
73,00000001110101001010100011000001,00:00:460,True
74,10000001110101001010110011000001,00:00:480,True
75,00000001110101001011000011000001,00:00:500,True
76,10000001110101001011010011000001,00:00:520,True
77,10000001110101001011010011000001,00:00:540,True
78,10000001110101001010110011000001,00:00:560,True
79,00000001110101001010100011000001,00:00:580,True
80,00000001110101001101000011000001,00:01:600,False
81,00000001110101001101000011000001,00:01:620,False
82,10000001110101001100110011000001,00:01:640,False
83,10000001110101001100110011000001,00:01:660,False
84,00000001110101001100100011000001,00:01:680,False
85,10000001110101001100110011000001,00:01:700,False
86,00000001110101001101000011000001,00:01:720,False
87,10000001110101001101010011000001,00:01:740,False
88,10000001110101001101010011000001,00:01:760,False
89,10000001110101001101100011000001,00:01:780,False
90,00000001110101001101110011000001,00:01:800,False
91,00000001110101001110000011000001,00:01:820,False
92,00000001110101001101110011000001,00:01:840,False
93,10000001110101001101100011000001,00:01:860,False
94,00000001110101001101110011000001,00:01:880,False
95,10000001110101001101100011000001,00:01:900,False
96,10000001110101001101010011000001,00:01:920,False
97,10000001110101001101100011000001,00:01:940,False
98,10000001110101001101010011000001,00:01:960,False
99,00000001110101001101110011000001,00:01:980,False
