frame_number,arinc_transmission_received,time (MM:SS:mmm),is_attack
0,00000001110101001100010011000001,00:00:000,False
1,00000001110101001100010011000001,00:00:020,False
2,00000001110101001100100011000001,00:00:040,False
3,10000001110101001100110011000001,00:00:060,False
4,10000001110101001100110011000001,00:00:080,False
5,00000001110101001100100011000001,00:00:100,False
6,00000001110101001100010011000001,00:00:120,False
7,10000001110101001100000011000001,00:00:140,False
8,00000001110101001100010011000001,00:00:160,False
9,00000001110101001100010011000001,00:00:180,False
10,00000001110101001011110011000001,00:00:200,False
11,10000001110101001100000011000001,00:00:220,False
12,00000001110101001100100011000001,00:00:240,False
13,10000001110101001100000011000001,00:00:260,False
14,00000001110101001100010011000001,00:00:280,False
15,00000001110101001011110011000001,00:00:300,False
16,10000000010011100010000011000001,00:00:320,True
17,10000000010011100001110011000001,00:00:340,False
18,10000000010011100010000011000001,00:00:360,False
19,10000000010011100001110011000001,00:00:380,False
20,10000000010011100001110011000001,00:00:400,False
21,10000000010011100001110011000001,00:00:420,False
22,10000000010011100010000011000001,00:00:440,False
23,10000000010011100010000011000001,00:00:460,False
24,10000000010011100010000011000001,00:00:480,False
25,10000000010011100001110011000001,00:00:500,False
26,10000000010011100010000011000001,00:00:520,False
27,10000000010011100001110011000001,00:00:540,False
28,10000000010011100001110011000001,00:00:560,False
29,10000000010011100010000011000001,00:00:580,False
30,10000000010011100010000011000001,00:00:600,False
31,10000000010011100010000011000001,00:00:620,False
32,10000000010011100001110011000001,00:00:640,False
33,10000000010011100010000011000001,00:00:660,False
34,10000000010011100001110011000001,00:00:680,False
35,10000000010011100010000011000001,00:00:700,False
36,10000000010011100001110011000001,00:00:720,False
37,10000000010011100010000011000001,00:00:740,False
38,10000000010011100010000011000001,00:00:760,False
39,10000000010011100001110011000001,00:00:780,False
40,10000000010011100010000011000001,00:00:800,False
41,10000000010011100010000011000001,00:00:820,False
42,10000000010011100001110011000001,00:00:840,False
43,10000000010011100001110011000001,00:00:860,False
44,10000000010011100001110011000001,00:00:880,False
45,10000000010011100010000011000001,00:00:900,False
46,10000000010011100010000011000001,00:00:920,False
47,10000000010011100010000011000001,00:00:940,False
48,10000000010011100001110011000001,00:00:960,False
49,10000000010011100001110011000001,00:00:980,False
50,10000000010011100001110011000001,00:01:000,False
51,10000000010011100001110011000001,00:01:020,False
52,10000000010011100001110011000001,00:01:040,False
53,10000000010011100010000011000001,00:01:060,False
54,10000000010011100010000011000001,00:01:080,False
55,10000000010011100010000011000001,00:01:100,False
56,10000000010011100001110011000001,00:01:120,False
57,10000000010011100001110011000001,00:01:140,False
58,10000000010011100010000011000001,00:01:160,False
59,10000000010011100010000011000001,00:01:180,False
60,10000000010011100001110011000001,00:01:200,False
61,10000000010011100010000011000001,00:01:220,False
62,10000000010011100001110011000001,00:01:240,False
63,10000000010011100001110011000001,00:01:260,False
64,10000000010011100010000011000001,00:01:280,False
65,10000000010011100001110011000001,00:01:300,False
66,10000000010011100010000011000001,00:01:320,False
67,10000000010011100001110011000001,00:01:340,False
68,10000000010011100001110011000001,00:01:360,False
69,10000000010011100001110011000001,00:01:380,False
70,10000000010011100010000011000001,00:01:400,False
71,10000000010011100010000011000001,00:01:420,False
72,10000000010011100010000011000001,00:01:440,False
73,10000000010011100001110011000001,00:01:460,False
74,10000000010011100010000011000001,00:01:480,False
75,10000000010011100010000011000001,00:01:500,False
76,10000000010011100010000011000001,00:01:520,False
77,10000000010011100001110011000001,00:01:540,False
78,10000000010011100001110011000001,00:01:560,False
79,10000000010011100010000011000001,00:01:580,False
80,10000000010011100010000011000001,00:01:600,False
81,10000000010011100010000011000001,00:01:620,False
82,10000000010011100010000011000001,00:01:640,False
83,10000000010011100001110011000001,00:01:660,False
84,10000000010011100010000011000001,00:01:680,False
85,10000000010011100010000011000001,00:01:700,False
86,10000000010011100001110011000001,00:01:720,False
87,10000000010011100010000011000001,00:01:740,False
88,10000000010011100001110011000001,00:01:760,False
89,10000000010011100010000011000001,00:01:780,False
90,10000000010011100010000011000001,00:01:800,False
91,10000000010011100001110011000001,00:01:820,False
92,10000000010011100010000011000001,00:01:840,False
93,10000000010011100010000011000001,00:01:860,False
94,10000000010011100001110011000001,00:01:880,False
95,10000000010011100010000011000001,00:01:900,False
96,10000000010011100010000011000001,00:01:920,False
97,10000000010011100001110011000001,00:01:940,False
98,10000000010011100010000011000001,00:01:960,False
99,10000000010011100001110011000001,00:01:980,False
